Cod interno;Descripcion;Precio Lista
52;Branca 450 ml;5958,75
52/1;Branca Menta 450 ml;5958,75
53;Branca 1 lt;16375
54;Branca Mini x 50 ml;1817,5
116;Gaseosa Cimes Cola x2.25L;1195,67
117;Gaseosa Cimes Lima  x2.25L;1195,67
118;Gaseosa Cimes Naranja x2.25L;1195,67
119;Gaseosa Cimes Pomelo x2.25L;1195,67
210;Heraclito Blend de Tecnicas 750cc;12023,75
212;Heraclito London dry 700cc;11362,19
212/2;Heraclito & Macedonio 700cc;13606,6
213;Hendricks x700;49187,39
214;Bombay Sapphire 750ml;25269,76
214/1;Bombay Bramble 700ml;23681,25
217;Gin Spirito blu 750cc;14621,25
217/1;Fisherton Gin x 750ml;7500
218;Bulldog gin 700cc;25125
219;Estanislao GIN  750 ml;8125
413;Gin Workers x 750ml;2743,2
888;Gin Profugo London Dry x 750ml;5826,6
888/1;Gin Profugo Mend. Picante x 750ml;5826,6
162;Terma Cero Serrano x 1.35lt;1663,83
163;Terma Cero Citrus x 1.35lt;1663,83
164;Terma Serrano x 1.35lt;1663,83
165;Terma Limon x 1.35lt;1663,83
166;Terma Pomelo x 1.35lt;1663,83
167;Terma Pomelo Rosado x 1.35lt;1663,83
168;Terma Edicion Lim. Citrus x 1.35lt;1663,83
169;Terma Edicion Lim. Patagonico x 1.35lt;1663,83
178;Jugo Tutti Manzana x 200cc;351,79
178/1;Jugo Tutti Manzana x 1 lt;1229,36
179;Jugo Tutti Uva x 200cc;351,79
180;Jugo Tutti Naranja x 200cc;351,79
181;Jugo Tutti Multifruta x 200cc;351,79
182;Jugo Tutti Durazno x 200cc;351,79
183;Jugo Tutti Durazno x 1 lt;1229,36
184;Jugo Tutti Naranja x 1 lt;1229,36
186;Jugo Tutti Multifruta x 1 lt;1229,36
654;Jugos de la Quinta Naranja 1lt;2197,5
655;Jugos de la Quinta Pomelo 1 lt;2197,5
947;Sportade Blue x 750;864,5
948;Sportade Frutas Tropicales x 750ml;864,5
949;Sportade Manzana x 750ml;864,5
220;Amarula 750ml;27106,25
220/1;Amarula 375ml;17001,25
221;Pisco Capel Reserv. x700;22473,01
408;Cachaça Picu x 1000 ml;8913,66
409;Licor de Cafe Workers x 750ml;2743,2
409/2;Licor de Durazno Borsa x 750ml;2022,8
410;Licor de Chocolate Workers x 750ml;2743,2
411;Licor de Dulce de leche Workers x 750ml;2743,2
170;Petaca Doble V x 200ml;1888,9
176;Petaca Criadores x 200ml;2031,9
397;Petaca Vodka Criadores x 195ml;933,4
398;Petaca Vodka Criadores Berry x 195 ml;981,5
401;Petaca Vodka Workers x 200ml;950,4
402;Petaca Gin Workers x 200ml;950,4
418;Petaca Borsa Cafe al Cognac x 200ml;952
419;Petaca Borsa Chocolate x 200ml;730,8
420;Petaca Borsa Dulce de leche x 200ml;730,8
421;Petaca John Q Whisky x 200ml;952
422;Petaca Borsa Menta x 200ml;730,8
422/1;Petaca Tropic Club Piña Colada x 200ml;730,8
423;Petaca Alakasha Vodka x 200ml;730,8
240;Frutillas Enteras BAHIA 850gr;4406,25
240/1;Durazno en Mitades BAHIA 820gr;1920
241;Pulpa de Anana BAHIA 900gr;3263,75
242;Pulpa de Durazno BAHIA 900gr;3361,25
243;Pulpa de Mango BAHIA 453gr;1983,75
244;Pulpa de Guarana BAHIA 453gr;1863,75
245;Pulpa de Melon BAHIA 453gr;1902,5
246;Pulpa de Frutilla BAHIA 900gr;3363,75
247;Pulpa de Maracuya BAHIA 900gr;3190
304;Bacardi carta blanca 750cc;15302,5
304/1;Bacardi carta blanca 980cc;18162,5
305;Bacardi carta oro 750cc;15302,5
305/1;Bacardi carta oro 980cc;18162,5
312;Jamaica Ron Gold x 1 lt;6576,85
313;Jamaica Ron Dry x 1 lt;6576,85
321/1;Ron Rico Blanco ;5146,2
322;Ron Rico Dorado;5069,96
414;Ron Blanco Workers x 750ml;2743,2
415;Ron Dorado Workers x 750ml;2743,2
800;Mani King Salado x 100gr;791,35
801;Mani King Salado x 350gr;2622,76
802;Mani King Salado x 1 kg;5471,62
803;Mani King Tostado x 100gr;791,35
804;Mani King Tostado x 350gr;2622,76
406;Tequila Blanco Workers x 750ml;2743,2
407;Tequila Dorado Workers x 750ml;2743,2
248;Gascon Malbec x 750ml;4262,7
249;Gascon Cabernet x 750ml;4262,7
250;Gascon Blanco Dulce x 750ml;4262,7
251;Gascon Roble Malbec x 750mo;5062,2
252;Gascon Roble Red Blend x 750ml;5062,2
253;Escorihuela Gascon Malbec 750ml;6860,1
254;Escorihuela Gascon Cabernet x 750ml;6860,1
255;Escorihuela Cab / Malb x 750ml;6860,1
